"Variables" "fillvalues"
"Other_Baleen_Whales6_StructN" 147467382.949298
"Other_Baleen_Whales7_StructN" 158024852.8136
"Other_Baleen_Whales8_StructN" 166719058.38718
"Other_Baleen_Whales9_StructN" 173805740.602939
"Other_Baleen_Whales10_StructN" 179536780.542182
"Other_Baleen_Whales11_StructN" 184143392.253771
"Other_Baleen_Whales12_StructN" 187828765.155586
"Other_Baleen_Whales13_StructN" 190766335.621911
"Other_Baleen_Whales14_StructN" 193101154.6573
"Other_Baleen_Whales15_StructN" 194952758.389751
"Other_Baleen_Whales16_StructN" 196418589.503095
"Other_Baleen_Whales17_StructN" 197577434.615947
"Other_Baleen_Whales18_StructN" 198492602.637483
"Other_Baleen_Whales19_StructN" 199214724.796292
"Other_Baleen_Whales20_StructN" 199784145.836986
"Other_Baleen_Whales1_ResN" 168424461.23941
"Other_Baleen_Whales2_ResN" 222051297.811254
"Other_Baleen_Whales3_ResN" 272485059.273024
"Other_Baleen_Whales4_ResN" 317820013.993552
"Other_Baleen_Whales5_ResN" 357269562.094118
"Other_Baleen_Whales6_ResN" 390788564.81564
"Other_Baleen_Whales7_ResN" 418765859.956041
"Other_Baleen_Whales8_ResN" 441805504.726026
"Other_Baleen_Whales9_ResN" 460585212.597789
"Other_Baleen_Whales10_ResN" 475772468.436783
"Other_Baleen_Whales11_ResN" 487979989.472492
"Other_Baleen_Whales12_ResN" 497746227.662304
"Other_Baleen_Whales13_ResN" 505530789.398063
"Other_Baleen_Whales14_ResN" 511718059.841844
"Other_Baleen_Whales15_ResN" 516624809.732841
"Other_Baleen_Whales16_ResN" 520509262.183201
"Other_Baleen_Whales17_ResN" 523580201.732259
"Other_Baleen_Whales18_ResN" 526005396.989331
"Other_Baleen_Whales19_ResN" 527919020.710175
"Other_Baleen_Whales20_ResN" 529427986.468013
"Top_Predators_N" 0
"Top_Predators1_Nums" 0
"Top_Predators2_Nums" 0
"Top_Predators3_Nums" 0
"Top_Predators4_Nums" 0
"Top_Predators5_Nums" 0
"Top_Predators6_Nums" 0
"Top_Predators7_Nums" 0
"Top_Predators8_Nums" 0
"Top_Predators9_Nums" 0
"Top_Predators10_Nums" 0
"Top_Predators11_Nums" 0
"Top_Predators12_Nums" 0
"Top_Predators13_Nums" 0
"Top_Predators14_Nums" 0
"Top_Predators15_Nums" 0
"Top_Predators16_Nums" 0
"Top_Predators17_Nums" 0
"Top_Predators18_Nums" 0
"Top_Predators19_Nums" 0
"Top_Predators20_Nums" 0
"Top_Predators1_StructN" 3522302.27649426
"Top_Predators2_StructN" 9735670.70825924
"Top_Predators3_StructN" 15746384.6318073
"Top_Predators4_StructN" 20424604.4764236
"Top_Predators5_StructN" 23716020.2560555
"Top_Predators6_StructN" 25911379.4777008
"Top_Predators7_StructN" 27332187.7584229
"Top_Predators8_StructN" 28235611.6351351
"Top_Predators9_StructN" 28804009.5321139
"Top_Predators10_StructN" 29159334.9496994
"Top_Predators11_StructN" 29380591.7001734
"Top_Predators12_StructN" 29518034.0548487
"Top_Predators13_StructN" 29603285.2124204
"Top_Predators14_StructN" 29656115.4312491
"Top_Predators15_StructN" 29688835.8580683
"Top_Predators16_StructN" 29709094.1917594
"Top_Predators17_StructN" 29721634.1075288
"Top_Predators18_StructN" 29729395.2822913
"Top_Predators19_StructN" 29734198.4128502
"Top_Predators20_StructN" 29737170.7570605
"Top_Predators1_ResN" 9334101.03270979
"Top_Predators2_ResN" 25799527.376887
"Top_Predators3_ResN" 41727919.2742893
"Top_Predators4_ResN" 54125201.8625224
"Top_Predators5_ResN" 62847453.6785471
"Top_Predators6_ResN" 68665155.6159072
"Top_Predators7_ResN" 72430297.5598206
"Top_Predators8_ResN" 74824370.8331079
"Top_Predators9_ResN" 76330625.2601019
"Top_Predators10_ResN" 77272237.6167035
"Top_Predators11_ResN" 77858568.0054596
"Top_Predators12_ResN" 78222790.2453491
"Top_Predators13_ResN" 78448705.812914
"Top_Predators14_ResN" 78588705.8928102
"Top_Predators15_ResN" 78675415.0238809
"Top_Predators16_ResN" 78729099.6081624
"Top_Predators17_ResN" 78762330.3849514
"Top_Predators18_ResN" 78782897.4980718
"Top_Predators19_ResN" 78795625.7940529
"Top_Predators20_ResN" 78803502.5062104
"Humpback_Whales_N" 0
"Humpback_Whales_F" 0.001
"Humpback_Whales1_Nums" 0
"Humpback_Whales2_Nums" 0
"Humpback_Whales3_Nums" 0
"Humpback_Whales4_Nums" 0
"Humpback_Whales5_Nums" 0
"Humpback_Whales6_Nums" 0
"Humpback_Whales7_Nums" 0
"Humpback_Whales8_Nums" 0
"Humpback_Whales9_Nums" 0
"Humpback_Whales10_Nums" 0
"Humpback_Whales11_Nums" 0
"Humpback_Whales12_Nums" 0
"Humpback_Whales13_Nums" 0
"Humpback_Whales14_Nums" 0
"Humpback_Whales15_Nums" 0
"Humpback_Whales16_Nums" 0
"Humpback_Whales17_Nums" 0
"Humpback_Whales18_Nums" 0
"Humpback_Whales19_Nums" 0
"Humpback_Whales20_Nums" 0
"Humpback_Whales1_StructN" 93848732.812428
"Humpback_Whales2_StructN" 121730494.191647
"Humpback_Whales3_StructN" 121815221.48515
"Humpback_Whales4_StructN" 121815458.33435
"Humpback_Whales5_StructN" 121815458.996293
"Humpback_Whales6_StructN" 121815458.998143
"Humpback_Whales7_StructN" 121815458.998149
"Humpback_Whales8_StructN" 121815458.998149
"Humpback_Whales9_StructN" 121815458.998149
"Humpback_Whales10_StructN" 121815458.998149
"Humpback_Whales11_StructN" 121815458.998149
"Humpback_Whales12_StructN" 121815458.998149
"Humpback_Whales13_StructN" 121815458.998149
"Humpback_Whales14_StructN" 121815458.998149
"Humpback_Whales15_StructN" 121815458.998149
"Humpback_Whales16_StructN" 121815458.998149
"Humpback_Whales17_StructN" 121815458.998149
"Humpback_Whales18_StructN" 121815458.998149
"Humpback_Whales19_StructN" 121815458.998149
"Humpback_Whales20_StructN" 121815458.998149
"Humpback_Whales1_ResN" 248699141.952934
"Humpback_Whales2_ResN" 322585809.607865
"Humpback_Whales3_ResN" 322810336.935648
"Humpback_Whales4_ResN" 322810964.586028
"Humpback_Whales5_ResN" 322810966.340177
"Humpback_Whales6_ResN" 322810966.34508
"Humpback_Whales7_ResN" 322810966.345094
"Humpback_Whales8_ResN" 322810966.345094
"Humpback_Whales9_ResN" 322810966.345094
"Humpback_Whales10_ResN" 322810966.345094
"Humpback_Whales11_ResN" 322810966.345094
"Humpback_Whales12_ResN" 322810966.345094
"Humpback_Whales13_ResN" 322810966.345094
"Humpback_Whales14_ResN" 322810966.345094
"Humpback_Whales15_ResN" 322810966.345094
"Humpback_Whales16_ResN" 322810966.345094
"Humpback_Whales17_ResN" 322810966.345094
"Humpback_Whales18_ResN" 322810966.345094
"Humpback_Whales19_ResN" 322810966.345094
"Humpback_Whales20_ResN" 322810966.345094
"ice_dz" 0
